"projectID","projectAcronym","name","country","city","role","activityType","SME","ecContribution","netEcContribution","totalCost","geolocation"
963845,"ONTOX","ESQLABS GMBH","DE","Saterland","participant","PRC","TRUE","1045250","1045250","1045250","51.0834196,10.4234469"
963845,"ONTOX","FOLKEHELSEINSTITUTTET","NO","Oslo","participant","REC","false","1155458.75","1155458.75","1155458.75","59.9339489,10.7452595"
963845,"ONTOX","UNIVERSITE DE LIEGE","BE","Liege","participant","HES","false","754375","754375","754375","50.6403884,5.5754264"
963845,"ONTOX","Stichting Hogeschool Utrecht","NL","Utrecht","participant","HES","false","734000","734000","734000","52.0989986,5.1091575"
963845,"ONTOX","3 RS MANAGEMENT & CONSULTING APS","DK","Kongens Lyngby","participant","PRC","TRUE","717500","717500","717500","55.670249,10.3333283"
963845,"ONTOX","ISTITUTO DI RICERCHE FARMACOLOGICHE MARIO NEGRI","IT","Milano","participant","REC","false","828062.5","828062.5","828062.5","45.4667971,9.1904984"
963845,"ONTOX","VRIJE UNIVERSITEIT BRUSSEL","BE","Bruxelles / Brussel","coordinator","HES","false","2491262.5","2491262.5","2491262.5","50.8232159,4.3920206"
963845,"ONTOX","UNIVERSITAT DE VALENCIA","ES","Valencia","participant","HES","false","737756.25","737756.25","737756.25","38.943091,-0.1299255"
963845,"ONTOX","MOLECULAR NETWORKS GMBH COMPUTERCHEMIE","DE","Nurnberg","participant","PRC","TRUE","921100","921100","921100","49.436102250000005,11.051571946416914"
963845,"ONTOX","UNIVERSITEIT MAASTRICHT","NL","Maastricht","participant","HES","false","996250","996250","996250","50.8470561,5.6865553"
963845,"ONTOX","IUF - LEIBNIZ-INSTITUT FUR UMWELTMEDIZINISCHE FORSCHUNG GMBH","DE","Dusseldorf","participant","OTH","false","974995","974995","974995","51.205450850000005,6.786236669272329"
963845,"ONTOX","JOHNS HOPKINS UNIVERSITY","US","Baltimore","participant","HES","false","985215","985215","985215","39.3279338,-76.6184375"
963845,"ONTOX","PROTOQSAR 2000 SL","ES","Valencia","participant","PRC","TRUE","734750","734750","734750","39.4699014,-0.3759513"
963845,"ONTOX","WAGENINGEN UNIVERSITY","NL","Wageningen","participant","HES","false","443860","443860","443860","51.9863279,5.6679366"
963845,"ONTOX","BAYER AKTIENGESELLSCHAFT","DE","Leverkusen","participant","PRC","false","931165","931165","931165","51.01934565,6.984493328121892"
963845,"ONTOX","CENTRUM EXPERIMENTALNEJ MEDICINY SLOVENSKEJ AKADEMIE VIED, VEREJNA VYSKUMNA INSTITUCIA","SK","Bratislava","participant","PUB","false","371375","371375","371375","48.1682653,17.0738489"
963845,"ONTOX","UNIVERSITEIT UTRECHT","NL","Utrecht","participant","HES","false","1066230","1066230","1066230","52.0851807,5.1754514"
963845,"ONTOX","ALTERTOX","BE","Ixelles","participant","PRC","TRUE","686250","686250","686250","50.824114449999996,4.371830196620037"
963845,"ONTOX","TOXTRACK INC","US","Wilmington Delaware","participant","PRC","TRUE","636195","636195","636195","39.74850645,-75.54768356242718"
101002725,"BALDER","KOBENHAVNS UNIVERSITET","DK","Kobenhavn","coordinator","HES","false","2000000","2000000","2000000","55.68012,12.571506"
101017716,"Neurotwin","UNIVERSIDAD POMPEU FABRA","ES","Barcelona","participant","HES","false","664650","664650","664650","41.3791946,2.17937474389152"
101017716,"Neurotwin","UNIVERSIDAD PABLO DE OLAVIDE","ES","Sevilla","participant","HES","false","698875","698875","698875","37.3886303,-5.995317"
101017716,"Neurotwin","THE GENERAL HOSPITAL CORPORATION","US","Boston Ma","participant","OTH","false","144906.61","144906.61","144906.61","42.3627265,-71.0674149"
101017716,"Neurotwin","UPPSALA UNIVERSITET","SE","Uppsala","participant","HES","false","313517","313517","313517.5","59.8499725,17.6332425"
101017716,"Neurotwin","NEUROELECTRICS BARCELONA SL","ES","Barcelona","coordinator","PRC","TRUE","844750","844750","844750","41.5827536,2.2353701"
101017716,"Neurotwin","BETH ISRAEL DEACONESS MEDICAL CENTER, INC NON PROFIT CORPORATION","US","Boston Ma","participant","REC","false","23688.39","23688.39","23688.39","42.3397554,-71.1049218220988"
101017716,"Neurotwin","FORSCHUNGSGESELLSCHAFT FUR ARBEITSPHYSIOLOGIE UND ARBEITSSCHUTZ EV","DE","Dortmund","participant","HES","false","927848","927848","927848.75","51.4902201,7.458294798166399"
101017716,"Neurotwin","FONDAZIONE SANTA LUCIA","IT","Roma","participant","REC","false","867500","867500","867500","41.8085771,12.5300617"
850691,"ROMB","LUDWIG-MAXIMILIANS-UNIVERSITAET MUENCHEN","DE","MUNCHEN","participant","HES","false","1224868.75","1224868.75","1224868.75","48.15055845,11.5798871545463"
850691,"ROMB","UNIVERSITAET ULM","DE","Ulm","coordinator","HES","false","272306.25","272306.25","272306.25","48.4251253,9.96293771568437"
863037,"BLOC","FUNDACIO INSTITUT DE BIOENGINYERIA DE CATALUNYA","ES","Barcelona","coordinator","REC","false","1116208.75","1116208.75","1116208.75","41.3825596,2.1771353"
863037,"BLOC","MULTIWAVE TECHNOLOGIES AG","CH","Plan-Les-Ouates","participant","PRC","TRUE","901646.25","472625","901646.25","46.1677845,6.1070008"
863037,"BLOC","MULTIWAVE TECHNOLOGIES","FR","Marseille","thirdParty","PRC","TRUE","0","429021.25","0","43.3442494,5.4317076818507495"
863037,"BLOC","FUNDACIO DE RECERCA CLINIC BARCELONA-INSTITUT D INVESTIGACIONS BIOMEDIQUES AUGUST PI I SUNYER","ES","Barcelona","participant","REC","false","489323.75","489323.75","489323.75","41.3887995,2.1511158"
863037,"BLOC","OXFORD INSTRUMENTS INDUSTRIAL PRODUCTS LIMITED","UK","Abingdon","participant","PRC","false","404601.25","404601.25","404601.25","51.6781353,-1.4051717"
804474,"DiRECT","UNIVERSITAT ZURICH","CH","Zurich","coordinator","HES","false","1499917","1499917","1499917","47.374782,8.54833389838694"
