projectID,acronym,title,objective,frameworkProgramme,ecMaxContribution
115002,ETOX,Integrating bioinformatics and chemoinformatics approaches for the development of expert systems allowing the in silico prediction of toxicities,"The eTOX consortium proposes to develop innovative methodological strategies and novel software tools to better predict the toxicological profiles of new molecular entities in early stages of the drug development pipeline. This will be achieved by coordinating the efforts of specialists from academia and SMEs in the wide scope of disciplines that are required to move towards a more reliable modelling of the complex relationships existing
between molecular and in vitro information and the in vivo toxicity outcomes of drugs. The proposed strategy includes a synergetic integration of innovative approaches in the following areas:
Database building and management, including masking procedures for sensitive data, with the aim of facilitating the sharing of information among pharmaceutical companies.
• Ontologies and text mining techniques, with the purpose of facilitating knowledge extraction from legacy preclinical reports and biomedical literature.
• Chemistry and structure-based approaches for the molecular description of the compounds considered, as well as of the biological anti-targets responsible for the secondary pharmacologies.
• Prediction of absorption and metabolism since these ADME properties are often critically related to toxicological events.
• Computational genomics to afford the inter-species and inter-individual variabilities that complicate the interpretation of experimental and clinical outcomes.
• Systems biology approaches in order to cope with the complex biological mechanisms which govern in vivo safety problems.
• Sophisticated statistical analysis tools required to derive the inevitably highly-multivariate QSAR models.
• Development and validation (according to the OECD principles) of QSARs, integrative models, expert systems and meta-tools.
• Linkage of toxicity preclinical data with human outcomes",FP7,6910018
115009,PHARMA-COG,Prediction of cognitive properties of new drug candidates for neurodegenerative diseases in the early clinical development,"PHARMA-COG aims to develop a new integrated model to accelerate the development of drug cindidates for MS, PKD and AD. The innovation relies on a 'multidimensional matrix' approach, integrating all available and renewed inputs (biomarkers/animal, human models/physiological and pharmcological challenges, Phase 0/1/1b to reduce the attrition rate, to allow an early and pertinent GO/NOGO decision before entering phase II trials for both symptomatic treatment and disease modifiers approaches.  The hypothesis is that effective long term drugs will normalize markers artificially modified.  The general objective is to test the efficiency of the 'matrix' on drug candidates for the enhancement/protection of cognitive functions. the final objective is to improve the detection and selection of new drugs candidates within a shorter teim-frame.
Our consortium gathers 13 academics and clinicians, 8 SMEs, 1 European patient organization (Alzheimer Europe) as well as 1 regulatory body (EMEA), coming form six different EU Members States.  Excellence Centres gather representatives of the different sectors: biomarkers (proteomics, transcriptomics), pharmacodynamic markers ( electrophysiology, psychophysiology, morphological and functional imaging), preclinical model specialists (cellular, transgenic mouse, monkey), clinicians, and clinical pharmacologists.
By the end of this (-year project, the following achievements are expected; definition of the most predictive combination of pharmacodynamic markers; validation of parallel models (in healthy volunteers, ApoE 4 subjects,patients and animals) to establish effective exposure ranges and support proof of mechanism studies. The predictive value of the 'matrix' will be evaluated using different pharmacological target acting drugs.  Suugestions for revised/new recomendations and guidellines will help to standardize the pre-clinical and clinical phases of drugs' development in neurodegenerative diseases.",FP7,9658388
115012,SAFESCIMET,European Modular Education and Training Programme in Safety Sciences for Medicines,"Background:
In current drug safety education and training in Europe, an integrative and translational approach is lacking. This shortfall has been identified by EUFEPS. The IMI (‘Strategic Research Agenda’), the FDA and the EMEA have also characterised this fact as a crucial gap in the education and training of scientists evaluating the safety of drug candidates and new medicines. 

Scope and objectives:
We present a new and unique pan-European education and training network, which solves this shortfall by developing and establishing a comprehensive modular Education and Training Programme in Safety Sciences for Medicines (SafeSciMET). This programme will fulfil the needs of pharmaceutical industry, regulatory authorities and academia. The network, consisting of top institutes for drug safety education and research, proposes a new type, high quality and sustainable programme for education and training in Safety Sciences for Medicines (S2M). The tailor-made training modules will encompass the safety, ethical, regulatory and societal aspects in all phases of drug development, with emphasis on integrative, translational and 3Rs aspects of drug safety assessment. Individual safety professionals who wish to address specific knowledge gaps will be able to follow single modules. The modular set up also provides an excellent opportunity for following dedicated sub-sets of modules, to be accredited for Continuing Professional Development (CPD). Scientists successfully completing the full programme, including an integrative MSc-thesis, will be awarded with an accredited Master of Advanced Safety Sciences of Medicines (M4S2M). All training modules and procedures will be aligned with the Bologna process. 

Principle learning outcomes are novel competences in translational safety sciences, leading to safety scientists who are able to perform holistic and critical evaluations of the safety of drug candidates and new medicines by linking of animal and patient data.",FP7,2374904
115369,ORBITO,Oral biopharmaceutics tools,"The OrBiTo project will deliver novel methods and a framework for rational application of predictive biopharmaceutics tools for oral drug delivery. This will be achieved through novel propsective studies to define new methodlogies which will be validated using historical datasets from EFPIA partners. A combination of high quality in vitro or in silico characterizations of API and formulations will be integrated into physiologically based in silico models capturing the full complexity of oral drug absorption. This approach will drive model based pharmaceutical product development in accordance with visions of Quality by Design. Benefits include an accelerated formulation development process, particularly for challenging projects e.g. for low solubility molecules or modified-release formulations as well as allowing optimization of clinical product performance for patient benefit. In addition, it will significantly reduce the need for future animal experiments in this area and reduce the need for human bioequivalence studies for bridging between formulations within clinical programmes. The consortium is composed of world-leading scientists in a unique multidisciplinary collaboration where competences from nine academic partners, one regulatory agency, one non-profit research organisation and three SMEs are brought together with the twelve EFPIA partners giving an unparalleled opportunity to deliver transformational change in  European industrial product development.",FP7,8975392
115439,STEMBANCC,Stem cells for Biological Assays of Novel drugs and prediCtive toxiCology (StemBANCC),"StemBANCC, comprising internationally renowned investigators, is ideally positioned to deliver a unique European biorepository and drug discovery pipeline based upon human induced pluripotent stem cells (hiPSC). This unrivalled opportunity will address the pressing therapeutic need in neurodegeneration, neurodysfunction and diabetes. We have immediate access to richly phenotyped subjects with a wealth of clinical data. Furthermore our cohorts include genetic and genome data, allowing us to carefully select subjects for hiPSC based disease model development. This clinical-genetic stratification is essential to ensure that cellular models display disease and therapy relevant phenotypes. hiPSC reprogramming is undertaken by an internationally respected centre, providing robust, reliable and timely delivery of hiPSCs; ensures the biorepository only houses quality assured hiPSC lines; and reduces unwanted variability in assays. We have leading experts in hiPSC differentiation, providing protocols with over 99% efficiency in producing cortical excitatory neurons and cardiomyocytes, which following up-scaling will meet demands of high throughput assays. StemBANCC will deliver a comprehensive ‘omics’ dataset on over 1500 stem cell lines. This includes cells taken at different lineage stages, after therapeutic challenge, monogenic and complex variants, and with matched isogenic controls. The integration of this network/pathway data will define core etiopathological processes, therapeutic generality, reveal on- and off-target effects, allow candidate therapeutic repositioning and decouple tolerance and toxicity pathways. The large-scale integrated datasets then directly guide the disease specific targeted assays, designed to maximize utility in low and high- through compound screening programs. Assay development undertaken by the StemBANCC proposed central test facility thereby provides the final component of our hiPSC platform for drug discovery, development and safety.",FP7,26000000
200787,OPENTOX,OpenTox - An Open Source Predictive Toxicology Framework,"The goal of the OpenTox project is to develop a predictive toxicology framework with a unified access to toxicological data, (Q)SAR models and supporting information. It will provide tools for the integration of data from various sources (public and confidential), for the generation and validation of (Q)SAR models, libraries for the development and integration of new (Q)SAR algorithms, and validation routines. OpenTox will attract toxicological experts without (Q)SAR expertise as well as model and algorithm developers. It will move beyond existing attempts to solve individual research issues, by providing a flexible and user friendly framework that integrates existing solutions and new developments.  OpenTox will be relevant for REACH as it gives risk assessors simple access to experimental data, (Q)SAR models and toxicological information that adheres to European and international regulatory requirements. OpenTox will be published as an open source project to allow a critical evaluation of its algorithms, to promote dissemination, and to attract external developers. Facilities for the inclusion of confidential in-house data and for accessing commercial prediction systems will be included.  OpenTox will contain high-quality data and (Q)SAR models for chronic, genotoxic and carcinogenic effects. These are the endpoints with the greatest potential to reduce animal testing. The impact of OpenTox will however go beyond REACH and long-term effects, because it will be straightforward to create models for other endpoints (e.g,. sensitisation, liver-toxicity, cardio-toxicity, ecotoxicity).  The proposed framework will support the development of new (Q)SAR models and algorithms by automating routine tasks, providing a testing and validation environment and allowing the easy addition of new data. For this reason we expect, that OpenTox will lead to (Q)SAR models for further toxic endpoints and generally improve the acceptance and reliability of (Q)SAR models.",FP7,2975360
201187,START-UP,Scientific and technological issues in alternatives research in drug development and Union politics,"Scientific and technological issues in alternatives research in drug development and Union politics START-UP The START-UP project concerns the identification and proposals to abolish bottlenecks in the 3Rs approach in pharmaceutical discovery and development. The goal of the project is organising 3 Workshops to determine the state of the art of each of the 3Rs in the EU, assess European strength and gaps in 3Rs and identify rate limiting steps on a scientific and technological level, resulting in a Consensus Paper containing concepts and suggestions for a Road Map for future research. Stakeholders (among them European Pharmaceutical Industries) have identified bottlenecks in drug development and in the integration of in vitro methods. Early identification of wrong candidates for further development and avoiding efforts for under-performing candidates are essential for the competitiveness of European Industry. Identification of bottlenecks in the implementation of the 3Rs in drug R&D should help identifying the best in vitro and in vivo systems, and to speed up the drug development process. Existing hurdles in the scientific, technological, ethical, regulatory and political level, play a substantial role and are rate-limiting in developing new drugs, including biological entities. The project is structured around 3 Workshops, preceded by 2 Expert Meetings redefining and prioritising current bottlenecks in 3Rs methodology, drug discovery and development. The limitations and gaps of each phase will be addressed, e.g. many cell systems do not have the required stability for genomics, proteomics or metabonomics ; many current cell systems lack crucial bioactivation capability. Thus, the status of satisfactory “predictive” pharmacology and toxicology in vitro has not yet been reached. The final goal is a Consensus Document .Thereupon, a Road Map to implement the strategy for a better integration of 3Rs in the EU drug discovery and development strategy will be proposed.",FP7,317964
201335,NANOTEST,Development of methodology for alternative testing strategies for the assessment of the toxicological profile of nanoparticles used in medical diagnostics,"Nanoparticles (NP) have unique, potentially beneficial properties, but their possible impact on human health has not been adequately assessed. The main goal of this proposal is to develop alternative high-throughput testing strategies using in vitro and in silico methods to assess the toxicological profile of NP used in medical diagnostics. Our specific aims are to: 1. Define NP properties and fully characterize NP to be used 2. Study NP interactions with molecules, cells and organs and develop in vitro methods to study the toxicological potential of NP 3.  Validate in vitro findings in short-term in vivo models and study particle effects in animals and (ex vivo) in humans to assess individual susceptibility to NP 4.  Develop in silico models of NP interactions Experimental work is structured in 4 WPs to address NP characterisation and key elements in evaluation of NP uptake, exposure and toxicology. NANOTEST integrates the investigation of toxicological properties and effects of NP in several target systems by developing a battery of in vitro assays using cell cultures, organotypic cell culture and small organ fragments (ex vivo) derived from different biological systems; blood, vascular system, liver, lung, placenta, digestive and central nervous systems. As NP action is likely to involve oxidative stress we will focus on the cross-cutting areas of inflammation, cellular toxicity, immunotoxicity, genotoxicity and related endpoints. Following development of SOP and generation of a common database and in parallel with in silico assays (QSAR, PBPK modelling), NanoTest will evaluate toxic effects and interactions of NP used in nanomedicine. Results will be validated in an experimental ethically approved in vivo model. The most advanced and standardised techniques will be adapted for automation and prepared for validation by ECVAM. Separate WPs will be dedicated to dissemination and to effective administrative and scientific management.",FP7,2994383
201439,ZF-CANCER,Developing high-thoughput bioassays for human cancers in zebrafish,"Recently the zebrafish has emerged as a new important system for cancer research because the zebrafish genome contains all orthologs of human oncogenes and forms tumors with similar histopathological and gene profiling features as human tumors.  The zebrafish provides an in vivo vertebrate model for identifying novel mechanisms of cancer progression and for development of new anticancer compounds in a time- and cost-effective manner. The ZF-CANCER project aims to develop high-throughput bioassays for target discovery and rapid drug screenings applicable in preclinical validation pipelines. Fluorescently labelled human and zebrafish cancer cells will be implanted (xenogenic and allogenic transplantation) into zebrafish embryos transgenic for a GFP-vascular marker and quantitative, multi-colour fluorescent intravital bio-imaging of tumour progression will be set up as the readout. Because of its amenability to genetic manipulation and optical transparency, the zebrafish is currently the only vertebrate model that allows the simultaneous in vivo imaging of all hallmarks of cancer progression including cell survival, proliferation, migration and induction of angiogenesis.  The combination of visual, non- invasive monitoring in translucent host embryos with powerful RNA interference technology, successfully developed for human cancer cells will enable identification of novel targets in a wide variety of human cancers. Automation of these fluorescent readouts will accelerate the screening process with chemical libraries to discover new compounds involved in different aspects of cancer progression and inhibition. In the case study, a selected panel of genes and lead compounds will be screened on a high-throughput platform, possibly resulting in the identification of important anti-tumour drugs relevant for human cancer therapy. Fundamental knowledge, tools and technical expertise gained from ZF-CANCER will be commercially exploited by one company and two high-tech SMEs.",FP7,2991793
201619,ESNATS,Embryonic Stem cell-based Novel Alternative Testing Strategies,"""ESNATS aims at developing a novel toxicity test platform based on embryonic stem cells (ESC), especially human ESC (hESC), to accelerate drug development, reduce R&D costs and propose a powerful alternative to animal tests (3 Rs).  ESNATS will address current drug-testing shortcomings: - testing takes place late in the development cycle - animal test systems bear the risk of non-prediction due to inter-species variation  - non-ESC assays rely on primary cells or cells of malignant origin that are hard-to-standardise and limited in regard to quantity, homogeneity and genetic diversity - existing assay systems based on primary animal cell lines do not reliably represent the physiological situation ESNATS will develop a battery of toxicity tests using hESC lines subjected to different standardised culture protocols. Tests will cover embryoid bodies in different developmental stages and differentiated derivatives including gamete and neuronal lineages, complemented with test systems for hepatic metabolism. Predictive toxicogenomics and proteomics markers will be identified. The individual tests will be integrated into an """"all-in-one"""" test system. To enable future industrial use ESNATS will prepare automating and scaling up of hESC culture. The predictivity, quality and reproducibility of ESNATS will be evaluated in a proof of concept study. ESNATS benefits are to increase safety due to better predictivity of human test systems, to reduce, refine and replace animal tests, to lower testing cost, and to support medium/high throughput testing.  ESNATS objectives will be achieved in a 5 year multi-disciplinary collaboration of leading European researchers in alternative testing, toxicology, ESC research, genomics, modelling, and automation. The consortium will also include representatives from regulatory bodies, the pharmaceutical industry and ethical advisors to provide guidance to ensure rapid applicability of the developed tests systems.""",FP7,11895577
